Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Orbis Pictus,movie,"Drama, Fantasy",1997,7.2,"CZ, SK"
The Karamazov Brothers,movie,Drama,2008,7.5,"CZ, SK"
All Is Lost,movie,"Action, Adventure, Drama",2013,6.9,"BE, FR, MC"
Rudý kapitán,movie,"Crime, Mystery, Thriller",2016,5.5,"CZ, SK"
Pistol Harvest,movie,"Drama, Western",1951,5.9,US
The Christmas Family 2,movie,"Adventure, Family",2016,4.6,"DK, FI, NO, SE"
DC Super Hero Girls: Legends of Atlantis,movie,"Action, Adventure, Animation",2018,5.3,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Little Vampire,movie,"Animation, Family, Fantasy",2020,6.3,"FR, MC"
Upon Open Sky,movie,"Crime, Drama",2023,6.2,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Soof 3,movie,"Comedy, Drama",2022,6.5,NL
Modelar,movie,"Crime, Drama, Thriller",2020,6.1,"CZ, SK"
Give That Person There a Camera,movie,,1977,,US
Trenque Lauquen,movie,"Drama, Mystery, Thriller",2022,7.3,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Urban Crisis and the New Militants: Module 5 - Police Power and Freedom of Assembly: The Gregory March,movie,Documentary,1968,,US
Shoot em Up,movie,,2008,,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Rymdresan,movie,"Adventure, Comedy, Family",2020,5.0,"DK, FI, NO, SE"
On the Trail: Inside the 2020 Primaries,movie,Documentary,2020,6.6,US
The Automat,movie,"Documentary, History",2021,7.8,US
40 Years a Prisoner,movie,"Crime, Documentary",2020,7.2,US
Sër Bi (Les tissus blancs),movie,"Drama, Short",2020,6.5,US
The Dress,movie,"Drama, Short",2020,6.7,US
Yun,movie,Drama,2020,,US
The Mystery of D.B. Cooper,movie,"Crime, Documentary, History",2020,6.5,US
Calvary,movie,,2020,,US
"1, 2, 3, All Eyes on Me",movie,"Drama, Short",2020,8.1,US
Shadows,movie,Short,2020,6.5,US
Son of Monarchs,movie,Drama,2020,6.1,US
Banksters,movie,"Crime, Drama",2020,5.4,PL
The Accidental President,movie,Documentary,2020,5.4,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
La Ciudad de las Fieras,movie,"Drama, Music",2021,6.3,US
The Nannies,movie,Comedy,2022,6.5,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Blanes st and Muller,movie,"Comedy, Drama, Fantasy",2020,6.8,US
A Christmas for Mary,movie,"Drama, Romance",2020,5.8,US
"Si atunci, ce e libertatea?",movie,Drama,2020,6.8,"MD, RO"
The Pit,movie,"Animation, Family",2020,,"CZ, SK"
